STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,indic_he,Health indicator,unit,Unit of measure,sex,Sex,icd10,International Statistical Classification of Diseases and Related Health Problems (ICD-10),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2000,,432758,,,,,
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2001,,410312,,,,,
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2002,,438888,,,,,
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2003,,467244,,,,,
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2004,,449480,,,,,
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2005,,497637,,,,,
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2006,,481177,,,,,
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2007,,524091,,,,,
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2008,,516308,,,,,
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2009,,544561,,,,,
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2010,,506896,,,,,
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2011,,518276,,,,,
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2012,,524962,,,,,
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2013,,506929,,,,,
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2014,,531124,,,,,
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2015,,426914,,,,,
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2016,,586945,,,,,
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2017,,594741,,,,,
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2018,,635132,,,,,
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2019,,600088,,,,,
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2020,,528555,,,,,
dataflow,ESTAT:HLTH_CO_DISCH1(1.0),"Hospital discharges by diagnosis, in-patients, total number - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),NR,Number,T,Total,J,Diseases of the respiratory system (J00-J99),ES,Spain,2021,,357965,,,,,
